Species,Inter-region,Intra-region,,,
,,Region I,Region II,Region III,Region IV
Arapaima gigas,NNT,NNT,NNT,NNT,
Astronotus ocellatus,NNT,NNT,NNT,NNT,NNT
Astyanax lacustris,N,,,,N
Cichla ocellaris,NNT,NNT,NNT,NNT,NNT
Cichla temensis,NNT,,NNT,NNT,NNT
Colossoma macropomum,NNT,NNT,NNT,NNT,NNT
Coptodon rendalli,NNE,NNE,NNE,NNE,NNE
Curimatella lepidura,N,,,,N
Cyprinus carpio,NNE,NNE,NNE,,NNE
Hoplias malabaricus,N,N,N,N,N
Hypostomus sp.1,N,N,,N,N
Hypostomus sp.2,N,N,,,N
Leporinus piau,N,N,N,N,N
Megaleporinus obtusidens §,NNT,NNT,NNT,NNT,NNT
Oreochromis niloticus,NNE,NNE,NNE,NNE,NNE
Plagioscion squamosissimus,NNT,NNT,NNT,NNT,NNT
Plagioscion surinamensis,NNT,NNT,NNT,NNT,NNT
Prochilodus argenteus §,NNT,NNT,NNT,NNT,NNT
Prochilodus brevis *,N,N,N,N,N
Psectrogaster rhomboides,N,N,N,N,
Pygocentrus nattereri,,N,N,,
Pygocentrus piraya,,,,,N
Pygocentrus sp. ‡,N,,,N,
Serrasalmus brandtii,,,,,N
Serrasalmus rhombeus,,N,N,,
Serrasalmus sp. ⁑,N,,,N,
Trachelyopterus galeatus,NE,NE,NE,NE,NE
Triportheus signatus *,N,N,N,N,N
