Laurel Creek data species extracted by OCR and pa written by hand,,,,,,,,,,,,,,,
total,NA,20,23,18,21,24,15,22,15,14,15,11,23,25,21
regional,species,66 A,76 A,95 A,66 B,76 B,95 B,76 C,95 C,66 D,76 D,95 D,66 E,76 E,95 E
Laurel Creek,creek chub,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Laurel Creek,common shiner,1,1,1,1,1,,1,,1,1,1,1,1,1
Laurel Creek,striped shiner,,,,1,1,,1,,1,1,1,1,1,1
Laurel Creek,rosyface shiner,,,,,1,,1,,,,,1,1,1
Laurel Creek,blacknose shiner,1,1,,1,1,,1,,1,1,,,,
Laurel Creek,golden shiner,1,1,,1,1,,1,,,,,1,1,
Laurel Creek,hornyhead chub,1,1,,1,,,,,,,,1,1,
Laurel Creek,blacknose dace,1,1,1,1,1,,,,,,,1,1,1
Laurel Creek,longnose dace,,,,,,,,,,,,1,1,1
Laurel Creek,northern redbelly dace,1,1,1,1,,,,,,,,,,
Laurel Creek,brassy minnow,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Laurel Creek,bluntnose minnow,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Laurel Creek,fathead minnow,1,1,1,1,1,1,1,1,1,1,1,,,
Laurel Creek,common carp,,,,,1,1,1,1,,1,1,1,1,1
Laurel Creek,blackside darter,,,,,,,,,,,,1,1,1
Laurel Creek,fantail darter,1,1,,1,,,,,,,,,,
Laurel Creek,rainbow darter,1,1,1,1,1,,,,,,,1,1,1
Laurel Creek,Johnny darter,1,1,1,1,1,,,,1,,,1,1,1
Laurel Creek,Jowa darter,1,1,1,1,1,1,1,1,1,1,1,,,
Laurel Creek,yellow perch,,1,1,,1,1,1,,,1,1,,,
Laurel Creek,rock bass,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Laurel Creek,smallmouth bass,,,,,1,1,1,1,,1,1,1,1,1
Laurel Creek,largemouth bass,,1,1,,1,1,1,1,,1,1,,1,1
Laurel Creek,bluegill sunfish,,,,,1,,1,,,,,,,
Laurel Creek,pumpkinseed sunfish,,1,1,,1,1,1,1,,1,1,,1,1
Laurel Creek,common white sucker,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Laurel Creek,northern hognose sucker,,,,,,,,,,,,1,1,1
Laurel Creek,greater redhorse sucker,,,,,,,,,,,,1,1,
Laurel Creek,brook stickleback,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Laurel Creek,central mudminnow,1,1,1,1,1,1,1,1,,1,1,,,
Laurel Creek,stonecat,,,,,,,,,,,,1,1,1
Laurel Creek,brown bullhead,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Laurel Creek,northern pike,,,,,,,,,,,,1,1,1
Laurel Creek,brown trout,1,1,,1,,,1,1,1,,,,,
