"species names extracted with tabulizer, composition copied by hand, bolding coded with an e",,,,,,,,,,,,,,,,
species,Bois de Sioux River,Upper Minnesota River,Big Sioux River,Vermillion River,James River,Missouri Valley (lower),Niobrara River,Ponca Creek,White River,Crow Creek,Bad River,Cheyenne River,Moreau River,Grand River,Missouri Valley (upper),Little Missouri River
Ichthyomyzon unicuspis ; silver lamprey,,,,ne,,ne,,,,n,,,,,,
,,,,,,,,,,,,,,,,
Ascipenser fulvescens  ;lake sturgeon,,,,,,n,,,,,,,,,,
Scaphirhynchus albus ; pallid sturgeon,,,,,,n,,,,,,,,,ne,
Scaphirhynchus platorynchus  ;shovelnose sturgeon,,,n n,n,n,n,*q,,,,,,,,n,
,,,,,,,,,,,,,,,,
Polyodon spathula ; paddlefish,,,ne,n,n,n,,,,,,,,,n,
,,,,,,,,,,,,,,,,
Lepisosteus osseus  ;longnose gar *q,*,ne,ne,n,n,n,*q,,,n,,,,,,
Lepisosteus platostomus;  shortnose gar,,n,n,n,n,n,*q,,,,,,,,n,
,,,,,,,,,,,,,,,,
Amia calva;  bowfin,,ne,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Hiodon alosoides  ;goldeye,,,n,n,n,n,*q,,n,n,n,n,n,n,n,n
Hiodon tergisus ; mooneye,,,ne,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Anguilla rostrata  ;American eel,,ne,ne,ne,n,n,,,,,,,,,ne,
,,,,,,,,,,,,,,,,
Alosa chrysochloris ; skipjack herring,,ne,,,,2,,,,,,,,,2e,
Alosa pseudoharengus ; alewife,,,,,,1e,,,,,,,,,,
Dorosoma cepedianum;  gizzard shad,,,n,n,n,n,,,ne,,,2,,2,n,
,,,,,,,,,,,,,,,,
Campostoma anomalum pullum ; central stoneroller *q,n,n,n,n,n,n,n,,n,n,,,,,,
Carassius auratus ; goldfish,,,1,,,1,1,,1,,,1,,,1e,
Couesius plumbeus  ;lake chub,,,,,,,*q,,*q,n,,n,,,,ne
Ctenopharyngodon idella ; grass carp,,,1,,1,1,,,,,,,,,,
Cyprinella lutrensis lutrensis ; red shiner,,,n,n,n,n,n,n,n,n,n,n,,,n,
,,,,,,,,,,,,,,,,
Cyprinella spiloptera  ;spotfin shiner,,*q,,1,,1,,,,,,,,,,
Cyprinus carpio  ;common carp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hybognathus argyritis  ;western silvery minnow,,,ne,ne,*,n,n,*,n,n,ne,n,n,n,n,n
Hybognathus hankinsoni  ;brassy minnow,ne,n,n,n,n,n,n,n,n,n,,n,n,n,n,ne
Hybognathus placitus  ;plains minnow,,,,,,ne,ne,,n,,n,n,n,n,n,n
Hypophthalmichthys molitrix ; silver carp,,,1,1,1,1,,,,,,,,,,
Hypophthalmichthys nobilis;  bighead carp,,,1,,1,1,,,,,,,,,,
Luxilus cornutus;  common shiner,ne,n,n,n,n,n,n,,*,,,*,,,n,*q
Macrhybopsis gelida  ;sturgeon chub,,,,,,n,,,n,,,n,,ne,ne,ne
Macrhybopsis meeki  ;sicklefin chub,,,,,,n,,,,,,,,,ne,
Macrhybopsis hyostoma  ;shoal chub,,,,,,n,,,,,,,,,,
Macrhybopsis storeriana;  silver chub,*q,,n,,,n,n,,,,,,,,,
Margariscus margarita nachtriebi ; pearl dace,,,,,,,n,,n,,,,,,n,
Nocomis biguttatus;  hornyhead chub,ne,n,ne,,*,,,,,,,*,,,,
Notemigonus crysoleucas  ;golden shiner,*q,n,ne,n,ne,n,n,,n,,n,n,n,n,n,n
Notropis atherinoides ; emerald shiner,n,n,n,n,n,n,n,,n,,n,n,n,n,n,*q
Notropis blennius ; river shiner,,,,ne,,n,*q,,*,,,,,,2e,
Notropis dorsalis ; bigmouth shiner,ne,n,n,n,n,n,n,n,n,,,,,,n,
Notropis heterodon  ;blackchin shiner,*q,ne,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Notropis heterolepis  ;blacknose shiner,ne,n,n,,ne,ne,n,,ne,,,,,,ne,
Notropis hudsonius ; spottail shiner,*q,n,n,,n,n,,,,,,2,,2,2,
Notropis percobromus  ;carmine shiner,*q,n,ne,,,,,,,,,,,,,
Notropis shumardi  ;silverband shiner,,,,ne,,ne,,,,,,,,,ne,
Notropis stramineus missuriensis ; plains sand shiner,,,,,,n,n,n,n,n,n,n,n,n,n,n
Notropis stramineus stramineus  ;eastern sand shiner,*,n,n,n,n,,,,,,,,,,,
Notropis topeka  ;Topeka shiner,,,n,n n,n,*,,,,,,,,,2e,
Notropis volucellus  ;mimic shiner,*q,,,,,1,,,,,,,,,,
Phenacobius mirabilis ; Suckermouth minnow,,,ne,,,n,*,,,n,,,,,n,
Phoxinus eos  ;northern redbelly dace,,n,n,,,,n,,n,n,,,,n,n,*q
Phoxinus erythrogaster,,,n,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Phoxinus neogaeus;  finescale dace,*q,,,,,,n,,n,,,n,,,,
Pimephales notatus  ;bluntnose minnow,ne,n,n,,n n,n,,,,,,,,2e,2,
Pimephales promelas ; fathead minnow,ne,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Platygobio gracilis ; flathead chub,,,ne,ne,,n,n,,n,,n,n,n,n,n,n
Rhinichthys cataractae cataractae;  longnose dace,ne,,,,,,n,n,n,,ne,n,n,n,ne,n
Rhinichthys obtusus ;western blacknose dace,n,n,n,n,n,ne,n,,ne,n,,,,,2e,
Scardinus erythrophthalmus ; rudd,,,1,,,,,,,,,1,,,,
Semotilus atromaculatus  ;creek chub,ne,n,n,n,n,n,n,n,n,n,,n,n,n,n,*q
,,,,,,,,,,,,,,,,
Carpiodes carpio carpio ; northern river carpsucker,,,n,n,n n,n,n,,n,n,n,n,n,n,n,n
Carpiodes cyprinus hinei  ;central quillback carpsucker,n,n,n,ne,n,n,,,,,,,,,,
Carpiodes velifer  ;highfin carpsucker,,*q,ne,,,n,,,,,,,,,,
Catostomus catostomus  ;longnose sucker,,,,,,,*,,*,,,n,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Catostomus commersonii  ;white sucker,n,n,n,n,n n,n,n,n,n,n,n,n,n,n,n,n
Catostomus platyrhynchus  ;mountain sucker,,,,,,,*,,*q,,,n,,,,
Cycleptus elongatus ; blue sucker,,,n,n,n,n,,,,,,,,,n,
Hypentelium nigricans  ;northern hog sucker,,ne,ne,,,,,,,,,,,,,
Ictiobus bubalus  ;smallmouth buffalo,,,n,n,n,n,*,,,,,,,,n,*q
,,,,,,,,,,,,,,,,
Ictiobus cyprinellus;  bigmouth buffalo,n,n,n,n,n,n,*,,,,,,,,n,
Ictiobus niger ;black buffalo,,,ne,,ne,ne,,,,,,,,,,
Moxostoma erythrurum  ;golden redhorse,n,n,*q,,ne,n,,,,,,,,,,
Moxostoma macrolepidotum  ;shorthead redhorse,n,n,n,n,n,n,n,,n,n,n,n,n,n,n,n
,,,,,,,,,,,,,,,,
Ameiurus melas ; black bullhead,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,ne
Ameiurus natalis  ;yellow bullhead,2,n,n,,n n,ne,*q,,,,,2,,,,
Ameiurus nebulosus  ;brown bullhead,n,n,,,*,,,,,,,,,,,
Ictalurus furcatus;  blue catfish,,,n,,ne,ne,,,,,,,,,n,
Ictalurus punctatus  ;channel catfish,n,n,n,n,n,n,n,,n,,n,n,n,n,n,n
,,,,,,,,,,,,,,,,
Noturus flavus  ;stonecat,,ne,n n,n n,n n,n n,n,,n,,,n,n,n,n,n
Noturus gyrinus ; tadpole madtom *q,*,n,n n,n n,n n,ne,,,,,,,,,,
Pylodictis olivaris  ;flathead catfish,,,n n,n n,n n,n n,,,ne,,,,,,n,
,,,,,,,,,,,,,,,,
Esox americanus vermiculatus  ;grass pickerel,,,,,,n,*q,,*q,,,,,,,
Esox lucius ; northern pike n,n,n,n,2,n,2,2,2,2,2,2,2,2,2,2,2
Esox masquinongy;  muskellunge,,,1,,1,1,,,,,,,,,1,
,,,,,,,,,,,,,,,,
Umbra limi ; central mudminnow,,n,n,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Osmerus mordax  ;rainbow smelt,,,,,,1,,,,,,1,,,1,
,,,,,,,,,,,,,,,,
Coregonus artedi;  cisco,,,1,,,,,,,,,,,,1,
Coregonus clupeaformis  ;lake whitefish,,,,,,,,,,,,,,,1,
Oncorhynchus clarkii bouvieri ; Yellowstone cutthroat trout,,,,,,ne,,,,,,1,,,1,
Oncorhynchus kisutch  ;Coho salmon,,,,,,,,,,,,,,,1e,
Oncorhynchus mykiss ; rainbow trout,,1e,1,1,1,1,,,1,,,1,1,1,1,
Oncorhynchus nerka  ;kokanee (sockeye) salmon,,,,,,1e,,,,,,1,,,,
Oncorhynchus tschawytscha  ;chinook salmon,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,
Prosopium gemmifer  ;Bonneville cisco,,,,,,,,,,,,,,,1e,
Salmo trutta  ;brown trout,,1,*,,1,,,,1e,,,1,1,1,1,
Salvelinus fontinalis  ;brook trout,,1e,,,,,,,1e,,,1,,,,
Salvelinus namaycush  ;lake trout,,,,,,,,,,,,1,,,1,
Percopsis omiscomaycus,*,ne,n,,,,,,,,,,,,,
Lota lota maculosa,,,,ne,,n,*,,,,,ne,,,n,*
Fundulus diaphanus menona,*,n,n,,,,,,,,,,,,1,
Fundulus kansae,,,,,,,*,,,,,n,,,,
Fundulus sciadicus  ;plains topminnow,,,n,ne,n,ne,n,,n,,,n,,,,
,,,,,,,,,,,,,,,,
Culaea inconstans; brook stickleback n,ne,n,n,n,n,n,*,,n,n,,n,n,*q,ne,*q
,,,,,,,,,,,,,,,,
Cottus bairdii; mottled sculpin,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,
Morone chrysops ;white bass 2,2,n,n,2e,2,2,,,,,,2,2,2,2,
Morone saxatilis ; striped bass,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ambloplites rupestris ; rock bass *q,*,n,n,,2e,2,,,,,,2,,,,
Lepomis cyanellus  ;green sunfish *t,*,n,n,n,n,n,n,n,n,n,2,2,2,2,2,2
Lepomis gibbosus  ;pumpkinseed *q,*,n,n,,2e,2e,,,2,,2e,,,2e,,
Lepomis humilis ; orangespotted sunfish 2,2e,n,n,n,n,n,,,,n,n,n,,n,n,
Lepomis macrochirus macrochirus  ;bluegill 2,2,n,n,2,2,n,2,2,2,,2,2,2,2,2,
Lepomis microlophus ; redear sunfish,,,1,,,,,,,,,,,,,
Micropterus dolomieu  ;smallmouth bass *t,*,ne,2,2,2,2,,,,,2,2,2,2,2,
Micropterus salmoides salmoides ; largemouth bass 2,2,n,n,2,2,2,2,2,2,,2,2,2,2,2,2e
Pomoxis annularis  white crappie 2,2,ne,n,2,2,2,,,2,,,2,,,2,
Pomoxis nigromaculatus  ;black crappie 2,2,n,n,2,2,2,2,2,2,,2,2,2,2,2,
,,,,,,,,,,,,,,,,
Etheostoma caeruleum ; rainbow darter,,*,,,,,,,,,,,,,,
Etheostoma exile;  Iowa darter n,ne,n,n,n,n,ne,n,,n,n,,n,n,n,n,ne
Etheostoma flabellare lineolatum ;striped fantail darter,,*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Etheostoma microperca  ;least darter *q,*,,,,,,,,,,,,,,,
Etheostoma nigrum  ;johnny darter n,n,n,n,n,n,n,n,n,,,,,2,2,2,
Etheostoma zonale  ;banded darter,,*,,,,,,,,,,,,,,
Perca flavescens  ;yellow perch n,n,n,n,n,n,n,2,2,2,2,2,2,2,2,2,2
Percina caprodes,,,n,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Percina maculata,*,n,n,,*,,,,,,,,,,,
Percina phoxocephala,,ne,,,,,,,,,,,,,,
Sander canadensis,,,n,n,n,n,*,,n,,n,n,n,n,n,n
Sander vitreus vitreus,n,n,n,n,n,n,*,,n,n,n,n,n,n,n,*
Aplodinotus grunniens,n,n,n,n,n,n,*,,,,,n,,,n,*
