"species copy pasted, presence absence entered by hand",,,,,,,,,,,,,,,
species,1989 Grand,1989 Moreau,1989 Cheyenne,1989 Bad,1989 White,2005 Grand,2005 Moreau,2005 Cheyenne,2005 Bad,2005 White,2016 Grand,2016 Moreau,2016 Cheyenne,2016 Bad,2016 White
Bigmouth Shiner,,,,,N,,,,,N,,,,1,N
Black Bullhead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Black Crappie,,,,,,1,1,1,1,1,1,1,,1,
Blacknose Shiner,,,,,N,,,,,,,,,,
Bluegill,,,,,,1,1,1,1,1,1,1,1,1,1
Bluntnose Minnow,1,,,,,,,,,,1,,1,,
Brassy Minnow,N,N,N,,N,N,N,N,,N,N,N,N,1,N
Brook stickleback,,N,N,,N,,N,N,,N,1,,N,1,N
Burbot,,,N,,,,,,,,,,,,
Central stoneroller,,,,,N,,,,,N,,,,,N
Channel catfish,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Common carp,,,,,,2,2,2,2,2,2,2,2,2,2
Common Shiner,,,,,,,,,,,,,,1,
Creek chub,N,N,N,,N,N,N,N,,N,N,N,N,1,N
Emerald Shiner,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fathead Minnow,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Finescale Dace,,,N,,N,,,N,,N,,,,,
Flathead Catfish,,,,,N,,,,,,,,,,
Flathead Chub,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gizzard shad,,,,,N,1,,1,,,,,1,1,
Golden Shiner,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Goldeye,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Green Sunfish,,,,,N,1,1,1,1,N,1,1,1,1,N
Iowa Darter,N,N,N,,N,N,N,N,,N,N,N,,,N
Johnny Darter,,,,,,1,1,,,,1,1,,,
Largemouth Bass,,,,,,1,1,1,1,1,,1,1,1,1
Longnose Dace,N,N,N,N,N,N,N,N,,N,N,N,N,N,N
Longnose Sucker,,,N,,,,,N,,,,,N,,
Northern Pike,,,,,,1,1,1,1,1,1,1,1,1,1
Northern plains killifish,,,N,,,,,N,,,,,N,,
Northern Redbelly Dace,N,,,,N,N,,,,N,N,,,,
Orangespotted sunfish,N,,N,N,,N,,N,N,,N,1,N,N,1
Paddlefish,,,,,*,,,,,,,,,,N
Pallid Sturgeon,,,,,*,,,,,,,,,,*
Pearl Dace,,,,,N,,,,,N,,,,,N
Plains Minnow,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Plains Sand Shiner,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Plains topminnow,,,N,,N,,,N,,N,,,N,,N
Pumpkinseed,1,,,1,,,,,,1,,,,1,1
Rainbow smelt,,,,,,,,2,,,,,,,
Red Shiner,,,N,N,N,,,N,N,N,1,1,N,N,N
River carpsucker,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sauger,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Shorthead Redhorse,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Shortnose gar,,,,,,,,,,,1,1,1,1,1
Shovelnose Sturgeon,,,,,*,,,,,,,,,,N
Silverband Shiner,,,,,*,,,,,,,,,,N
Smallmouth Bass,,,,,,1,1,1,,,1,1,1,,
Spottail Shiner,,,,,,1,,1,,,,,1,1,
Stonecat,N,N,N,,N,N,N,N,,N,N,N,N,1,N
Sturgeon Chub,N,,N,,N,,,N,,N,,,N,,N
Walleye,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Western Blanknose Dace,,,,,N,,,,,,,,,,
Western Silvery Minnow,N,N,N,N,N,N,N,N,,N,N,N,N,N,N
White Bass,,,,,,1,1,1,,,1,1,1,1,
White Crappie,,,,,,,,1,,1,1,,1,1,
White Sucker,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yellow bullhead,,,,,,,,1,,,,,1,,
Yellow perch,,,,,,1,1,1,1,1,1,1,1,1,1
