extracted with tabula,,,,
species,historic BB,historic WB,modern BB,modern WB
Scyliorhinus canicula,0.17,0,9.82,4.33
Mustelus mustelus,0,0,0,0.08
Squatina squatina,0,1.61,0,0
Leucoraja fullonica,0,0.5,0,0
Leucoraja naevus,0.29,0,0,0
Raja circularis,0,0.13,0,0
Raja montagui,2.7,0.71,0.18,0.25
Raja clavata,7.45,1.7,0.09,0.08
Raja microocellata,0,0.86,0.18,0.5
Raja brachyura,0,4.72,0,0.58
Engraulis encrasicolus,0,0,0,0.17
Clupea harengus,0,0,0.18,0
Conger conger,0,0.11,0,0
Syngnathus acus,0,0,0.09,0.08
Syngnathus rostellatus,0,0,0,0.17
Merlangius merlangus,0,1.08,1.18,0
Trisopterus luscus,0.33,0,0,0
Trisopterus minutus,0,0.07,0,0
Zeus faber,1,0.92,0.27,0.25
Dicentrarchus labrax,0,0,0,0.17
Ammodytes sp.,0,0.58,0.09,21.33
Echiichthys vipera,0,0,0,0
Callionymus lyra,7.89,2.27,42.03,2.92
Eutrigla gurnardus,36.37,2.1,11.73,0
Trigloporus lastoviza,0,0,0,0
Aspitrigla cuculus,3.12,0,0.36,0
Chelidonichthys lucerna,0.65,0.83,5.58,1
Taurulus bubalis,0,0,0,0
Lophius piscatorius,0.17,0.28,0,0
Psetta maxima,0,2.47,2.75,0.18
Scophthalmus rhombus,0.98,0.61,0.83,0.27
Arnoglossus laterna,0,0.2,2,1.91
Limanda limanda,13.98,3.47,0.75,6.7
Platichthys flesus,0,0.13,1.33,0.18
Pleuronectes platessa,2.34,4.59,11.83,9.33
Microstomus kitt,0,0,0,0
Pegusa lascaris,0.48,3.57,11.58,1.55
Solea solea,4.43,2.14,1.92,3.06
Buglossidium luteum,0,0.46,0.42,0
Microchirus variegatus,0,0,0,0.09
