"pilarczyk_2006 - Extracted from the paper with tabula - Table 1. Sites in the Choctawhatchee (C), Yellow (Y), and Conecuh-Escambia (C-E) river drainages surveyed for mussels during summer 2004."
Site name ID # Drainage Coordinates
West Fork Choctawhatchee River 04005 C N31o39.765' W085o30.332'
Trib. to Lindsey Creek 04008 C N31o49.351' W085o26.560'
Flat Creek 04027 C N31o02.590' W086o06.076'
Eightmile Creek 04028 C N30o58.835' W086o10.762'
Yellow River 04029 Y N30o58.835' W086o10.762'
Patsaliga Creek 04030 C-E N31o35.768' W086o24.286'
Pea River 04031 C N31o42.868' W085o42.448'
Pea Creek 04032 C N31o47.744' W085o39.167'
Big Creek 04033 C N31o40.688' W085o59.696'
Big Creek 04034 C N31o43.507' W085o39.273'
East Fork Choctawhatchee River 04035 C N31o40.667' W085o20.726'
Judy Creek 04036 C N31o31.592' W085o35.009'
West Fork Choctawhatchee River 04037 C N31o33.288' W085o28.916'
West Fork Choctawhatchee River 04038 C N31o24.644' W085o32.123'
East Fork Choctawhatchee River 04039 C N31o24.645' W085o32.123'
Hurricane Creek 04040 C N31o07.761' W085o39.397'
Yellow River 04041 Y N31o16.432' W086o20.932'
Bottle Creek 04055 C-E N31o16.124' W086o45.822'
Murder Creek 04056 C-E N31o18.115' W087o00.759'
Jordan Creek (Trib. To Murder Creek) 04057 C-E N31o20.981' W087o01.653'
Pigeon Creek 04059 C-E N31.28.581' W087o08.807'
Little Patsaliga Creek 04060 C-E N31o41.155' W086o20.098'
Little Patsaliga Creek 04061 C-E N31o43.712' W086o19.845'
Patsaliga Creek 04062 C-E N31o46.858' W086o13.437'
