local,coordinates,latitude,longitude,alpha_grain_km2
Anuta,11°36′39″S 169°51′01″E,,,0.37
Bellona,11.30°S 159.80°E,,,17
Choiseul,7.08°S 157.0°E,,,2971
Guadalcanal,9°37′S 160°11′E,,,5302
Kolombangara,7°58′S 157°04′E,,,687.8
Makira,10°33′04″S 161°49′41″E,,,3190
Malaita,9°01′03″S 160°57′14″E,,,4307
Malaupaina,"-10.248, 161.97",,,6.37
Matema,"-10.293, 166.184",,,0.18
Mbanika,"-9.098, 159.194",,,48.2
New Georgia,8°15′S 157°30′E,,,2037
NEW GEORGIA IS.,,,,
NGGELA IS.,,,,
Nggela Sule,, -9.054271°,160.217021°,215
Nupani,10.0706°S 165.7269°E,,,0.77
OLU MALAU IS.,,,,
Ontong Java Is.,5°16′S 159°21′E,,,12
Owaraha,10°49′42″S 162°27′49″E,,,15.7
REEF IS.,,,,
Rendova,8°32′00″S 157°20′00″E,,,411.3
Rennell,11°40′S 160°10′E,,,660.1
RUSSELL IS.,,,,
San Jorge,"-8.45, 159.583333",,,184
Santa Catalina,10.892°S 162.446°E,,,5.62
Santa Cruz,"-10.723, 165.935",,,505.5
SANTA CRUZ IS.,,,,
Santa Isabel,"-8.030556, 159.176111",,,2999
Savo,9°8′0″S 159°49′0″E,,,31
Shortland,"-7.033333°, 155.766667°",,,221
Sikaiana,"-8.378611, 162.713056",,,2
Tikopia,12°17′47.3″S 168°49′55.0″E,,,5
Tulagi,09°06′S 160°09′E,,,2.08
Ugi,"-10.25, 161.75",,,43.98
Vangunu,8°37′33″S 157°58′54″E,,,509
Vanikoro,"-11.65, 166.9",,,173
Vella Lavella,7°44′S 156°38′E,,,628.9
SOLOMON IS.,,,,
