hand extraction of non-native species from Appendix 1,
species,status
Ochetellus glaber*,exotic
Tapinoma melanocephalum*,exotic
Technomyrmex albipes*,exotic
Anoplolepis gracilipes,exotic
Brachymyrmex obscurior*,exotic
 Nylanderia bourbonica,exotic
Nylanderia vaga,exotic
Paratrechina longicornis,exotic
Plagiolepis alluaudi,exotic
Cardiocondyla kagutsuchi,exotic
Monomorium destructor,exotic
Monomorium floricola,exotic
Monomorium pharaonis,exotic
Pheidole megacephala,exotic
Solenopsis geminata,exotic
Strumigenys emmae,exotic
Strumigenys godeffroyi,exotic
Strumigenys membranifera,exotic
Strumigenys rogeri,exotic
Tetramorium bicarinatum,exotic
Tetramorium lanuginosum,exotic
Tetramorium simillimum,exotic
Wasmannia auropunctata,exotic
Hypoponera punctatissima,exotic
Hypoponera ragusai,exotic
Pachycondyla stigma,exotic
