species extracted by OCR pa written by hand,,,,
species,Mauritius,Round Island,Rodrigues,La Réunion
"""Typhlops"" cariei Hoffstetter",e,,,
Astrochelys radiata (Shaw),?,,,a
Bolyeria multocarinata (Boie),,a,,
Bufo gutturalis Power,a,,,a
Bufo marinus (Linné),a,,,
Calotes versicolor (Daudin),a,,,a
Casarea dussumieri (Schlegel),e,a,,
Chamaeleo pardalis (Cuvier),e,,,a
Chelonia mydas (Linné) (green turtle),a,a,a,a
Cryptoblepharus boutonii boutonii (Desjardins),a,a,,e
Cylindraspis borbonica Bour,,,,e
Cylindraspis graii (Duméril et Bibron) (= triserrata ?),e,e,,
Cylindraspis inepta (Giinther),e,e,,
Cylindraspis peltastes (Duméril et Bibron),,,e,
Cyrtodactylus serpensinsula (Loveridge),e,a,,
Dermochelys coriacea (Vandelli) (lute),a,,,
Dipsochelys elephantina (D. & B.),a,,,a
Ebenavia inunguis Boettger,a,,,
Eretmochelys imbricata (Linné) (Hawk's bill),a,a,a,a
Gehyra mutilata (Wiegmann),a,,a,a
Gongylomorphus bojerii borbonica Vinson & Vinson,a,a,,e
Gylindraspis vosmaeri (Fitzinger),,,e,
Hemidactylus frenatus Schlegel,a,,a,a
Hemidactylus mabouia (Moreau de Jonnés) (= mercatorius),a,,a,a
Hemiphyllodactylus typus typus Bleeker,a,,a,a
Leiolopisma (= Didosaurus) mauritiana (Giinther),e,,,
Leiolopisma telfairii (Desjardins),e,a,,e
Lepidodactylus lugubris Duméril et Bibron,,,a,
Lycodon aulicus (Linné),a,,,a
Pelamis platucus (Linné) (sea-snake),a,,,
Pelusios subniger (Lacepéde),e,,,
Phelsuma borbonica agalegae Cheke,,,,
Phelsuma borbonica borbonica Mertens,,,,a
Phelsuma cepediana (Milbert),a,,,a
Phelsuma edwardnewtonii Vinson & Vinson,,,e,
Phelsuma gigas (Liénard),,,e,
Phelsuma guentheri Boulenger,,a,,
Phelsuma guimbeaui Mertens,a,,,
Phelsuma lineata Gray,,,,a
"Phelsuma ornata subsp. coindemirensis (Gunner's Quoin, Mauritius)",a,,,
Phelsuma ornata subsp. inexpectata Mertens (Réunion),,,,a
Phelsuma ornata subsp. ornata ornata Gray,a,a,,a
Ptychadena mascareniensis mascareniensis (Duméril & Bibron),a,,,a
Rhamphotyphlops braminus (Daudin) (blind snake),a,,a,a
Trionyx steindachneri Sicbenrock,a,,,
