coordinates found on Google Maps,
country,coordinates
Albania,"40.732345453973366, 19.883265467880346"
Andorra,"42.544651875086814, 1.5869096826801747"
Austria,"47.39228081986434, 14.11228457163953"
Belarus,"53.50231960618359, 27.37278259903197"
Belgium,"50.82109557679051, 4.620097147321821"
Bosnia and Herzegovina,"43.97470012225884, 18.13643741568706"
Bulgaria,"42.55881409127677, 25.11275561645391"
Croatia,"45.64252932608989, 16.37862495565132"
Cyprus,"35.0813351610613, 33.0888296538661"
Czech Republic,"49.693990355795535, 16.23580251992846"
Denmark,"55.31482051041226, 10.456994230905899"
Estonia,"58.59521763952458, 25.793907944717763"
Finland,"64.04196081409768, 26.892540732240104"
France,"47.02302289681359, 2.502892849244153"
Germany,"52.54100741800333, 13.390343510575809"
Greece,"38.871435436230605, 22.278283024646278"
Hungary,"47.02302289681359, 19.421837777088193"
Ireland,"53.210694233833614, -7.9560912879685235"
Italy,"42.79305075883725, 12.346642625444323"
Latvia,"57.089759755985355, 25.83785325621866"
Liechtenstein,"47.135246132721754, 9.539635853324748"
Lithuania,"55.63859132735462, 23.245079877665944"
Luxembourg,"49.83945975237584, 6.062463080816535"
Macedonia,"41.64179037121415, 21.794884598136445"
Malta,"35.96207731197699, 14.324181642984533"
Moldova,"47.041743184479344, 28.870079749780327"
Montenegro,"42.76482766901476, 19.377892465587298"
Netherlands,"52.18880899842454, 5.513146687055364"
Norway,"61.9710196791686, 9.512169911745714"
Poland,"52.11128577001135, 18.63082199672716"
Portugal,"39.5905229679602, -8.37357186911798"
Portugal: Azores,"38.47258741166122, -28.30277121425493"
Portugal: Madeira Islands,"32.69624940700747, -16.944460154832925"
Romania,"45.88395611348941, 25.673059840996174"
Russia (European part),"55.14879795745004, 35.16524712518919"
Serbia,"44.04976299645192, 21.05880213340234"
Slovakia,"48.78304185140279, 19.57564636734132"
Slovenia,"46.12433673491927, 15.06026561062451"
Spain,"40.84048309274714, -3.7702988646025433"
Spain: Canary Islands,"27.97702210995643, -15.547642975779496"
Sweden,"61.909005110876635, 14.21432028426508"
Switzerland,"46.78658546577897, 8.237757920143538"
Turkey (European part),"41.29603942926526, 27.397913734533162"
Ukraine,"49.76855441514721, 33.98971045966721"
United Kingdom,"53.055799373996095, -1.957554348063774"
